imd_storm_id,serial,name,year,basin,start_time,end_time,duration_hours,n_obs,n_imd_obs,n_scorpio_obs,peak_wind_kt,min_pressure_hpa,peak_dvorak_ci,peak_grade,provenance
1988-005,5.0,,1988,BOB,1988-10-01 03:00:00,1988-10-03 03:00:00,48.0,5,5,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1988-006,6.0,,1988,BOB,1988-10-18 18:00:00,1988-10-20 03:00:00,33.0,4,4,0,55.0,,4.0,CS,RSMC_New_Delhi_Best_Track
1988-007,7.0,,1988,BOB,1988-11-15 03:00:00,1988-11-18 12:00:00,81.0,8,8,0,110.0,,5.5,SCS,RSMC_New_Delhi_Best_Track
1988-008,8.0,,1988,BOB,1988-11-23 12:00:00,1988-11-30 00:00:00,156.0,14,14,0,115.0,,6.0,SCS,RSMC_New_Delhi_Best_Track
1988-009,9.0,,1988,BOB,1988-12-06 12:00:00,1988-12-08 12:00:00,48.0,5,5,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1989-001,1.0,,1989,BOB,1989-05-23 03:00:00,1989-05-27 12:00:00,105.0,9,9,0,115.0,,6.0,SCS,RSMC_New_Delhi_Best_Track
1989-002,2.0,,1989,ARB,1989-06-09 03:00:00,1989-06-12 12:00:00,81.0,8,8,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1989-003,3.0,,1989,BOB,1989-06-12 03:00:00,1989-06-14 12:00:00,57.0,6,6,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1989-004,4.0,,1989,BOB,1989-06-20 03:00:00,1989-06-20 03:00:00,0.0,1,1,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1989-005,5.0,,1989,BOB,1989-07-21 12:00:00,1989-07-25 12:00:00,96.0,9,9,0,45.0,,3.5,CS,RSMC_New_Delhi_Best_Track
1989-006,6.0,,1989,BOB,1989-08-16 03:00:00,1989-08-17 12:00:00,33.0,4,4,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1989-007,7.0,,1989,BOB,1989-10-17 03:00:00,1989-10-18 03:00:00,24.0,3,3,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1989-008,8.0,,1989,BOB,1989-11-01 03:00:00,1989-11-09 03:00:00,192.0,12,12,0,115.0,,6.0,SCS,RSMC_New_Delhi_Best_Track
1989-009,9.0,,1989,BOB,1989-11-11 03:00:00,1989-11-11 03:00:00,0.0,1,1,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
